Full Name, Party, Utterances Count, PA Profile, Profile Photo
"Ebrahim, Mr EI","ANC","402","https://www.pa.org.za/person/ebrahim-ismail-ebrahim/","https://static.pmg.org.za/1044.jpg"
"Oliphant, Ms MN","ANC","5","https://www.pa.org.za/person/mildred-nelisiwe-oliphant/","https://static.pmg.org.za/4187.jpg"
"Oliphant , Mr GG","ANC","9","https://www.pa.org.za/person/gaolatlhe-godfrey-oliphant/","https://static.pmg.org.za/4188.jpg"
"Pandor, Dr GN","ANC","7","https://www.pa.org.za/person/grace-naledi-mandisa-pandor/","https://static.pmg.org.za/300.jpg"
"Peters, Ms ED","ANC","514","https://www.pa.org.za/person/elizabeth-dipuo-peters/","https://static.pmg.org.za/peters_ed.jpg"
"Phaahla, Dr JM","ANC","13","https://www.pa.org.za/person/mathume-joseph-phaahla/","https://static.pmg.org.za/4192.jpg"
"Pilane-Majake, Dr MC","ANC","26","https://www.pa.org.za/person/makgathatso-charlotte-chana-pilane-majake/","https://static.pmg.org.za/images/committee-members/resize/pilane-majake_ms_mc-pilane-majake_chana.jpg"
"Pule, Ms DD","ANC","8","https://www.pa.org.za/person/dina-deliwe-pule/","https://static.pmg.org.za/images/committee-members/resize/pule_ms_d_d-pule_dina_deliwe_e130_anc.jpg"
"Frolick, Mr CT","ANC","85","https://www.pa.org.za/person/cedric-thomas-frolick/","https://static.pmg.org.za/62.jpg"
"Fubbs, Ms JL","ANC","18","https://www.pa.org.za/person/joanmariae-louise-fubbs/","https://static.pmg.org.za/images/committee-members/resize/fubbs_ms_jl-fubbs_joanmariae.jpg"
"Radebe, Mr GS","ANC","163","https://www.pa.org.za/person/goodwill-sbusiso-radebe/","https://static.pmg.org.za/images/committee-members/resize/radebe_mr_gs_-radebe_goodwill_sbusiso.jpg"
"Gamede, Mr DD","ANC","21","https://www.pa.org.za/person/dumisani-dennis-gamede/","https://static.pmg.org.za/images/committee-members/resize/gamede_mr_dd-gamede_dennis_dumisani_0011.jpg"
"Radebe, Mr JT","ANC","166","https://www.pa.org.za/person/jeffrey-thamsanqa-radebe/","https://static.pmg.org.za/4193.jpg"
"Radebe, Mr BA","ANC","212","https://www.pa.org.za/person/bhekiziswe-abram-radebe/","https://static.pmg.org.za/radebe.jpg"
